REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Oct-21,Newfoundland and Labrador,2016A000210,Persons,249,units,0,v2,2,521758,,,,0
Oct-21,Prince Edward Island,2016A000211,Persons,249,units,0,v8,3,165936,,,,0
Oct-21,Nova Scotia,2016A000212,Persons,249,units,0,v9,4,998832,,,,0
Oct-21,New Brunswick,2016A000213,Persons,249,units,0,v10,5,794300,,,,0
Oct-21,Quebec,2016A000224,Persons,249,units,0,v11,6,8631147,,,,0
Oct-21,Ontario,2016A000235,Persons,249,units,0,v12,7,14915270,,,,0
Oct-21,Manitoba,2016A000246,Persons,249,units,0,v13,8,1386333,,,,0
Oct-21,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,1180867,,,,0
Oct-21,Alberta,2016A000248,Persons,249,units,0,v15,10,4464170,,,,0
Oct-21,British Columbia,2016A000259,Persons,249,units,0,v3,11,5249635,,,,0
Oct-21,Yukon,2016A000260,Persons,249,units,0,v4,12,43095,,,,0
Oct-21,Northwest Territories,2016A000261,Persons,249,units,0,v6,14,45515,,,,0
Oct-21,Nunavut,2016A000262,Persons,249,units,0,v7,15,39589,,,,0
